"location","legacy_sales_order","sales_order_date","jde_sales_order","back_order_date","reference_order_date","customer_po","customer_ship_to_8","customer_ship_to_9","make_buy_transfer","label_owner","priority_sku","product_label_sku","description","customer_profile_owner","shortage_reason","shortage_date","next_available_date","followup_comments","type_of_sale","type_of_sale_2","total_sku_beginning_inventory","oo_cases","b_t_open_order_cases","order_shortage_case_no","total_sku_shortage_qty","inventory_soft_hold_release","inventory_usable","production_schedule","production_soft_hold_release","purchase_order_and_transfer_in","sales_order_and_transfer_out","item_to_compare_ofr","item_to_compare_csv","shipped qty(OFR)","shipped qty(CSV)","match"
75,"49531",2023-10-18,NA,1899-12-31,"0","3324194U","00733-026","USF VENDOR RELATIONS","X","VF","YES","13687GNS","SPRD WHP CUP 600/5 GRAM","KPATIL","S",2023-11-01,2023-11-03,"B/T order is coming on 11/2 please move order out.","0","REGULAR","88",96,NA,-96,-266,0,0,0,0,0,354,"75_13687GNS","75_13687GNS",0,0,"matching"
75,"49025",2023-10-12,NA,1899-12-31,"0","1354722","36344-001","SYSCO HFM LA","X","C",NA,"13820SYS","MAYO HD JAR 4/1 GAL","RPLUNKETT","S",2023-11-01,2023-11-02,"Next B/T order is coming on same date. Please move order out","0","REGULAR","0",24,NA,-24,-180,0,0,0,0,0,180,"75_13820SYS","75_13820SYS",0,0,"matching"
75,"49492",2023-10-18,NA,1899-12-31,"0","22510850","40199-048","SYSCO SAN DIEGO","X","C",NA,"13820SYS","MAYO HD JAR 4/1 GAL","KPATIL","S",2023-11-01,2023-11-02,"Next B/T order is coming on same date. Please move order out","0","REGULAR","0",60,NA,-60,-180,0,0,0,0,0,180,"75_13820SYS","75_13820SYS",0,0,"matching"
75,"49629",2023-10-18,NA,1899-12-31,"0","45063","34432-001","SUNRISE FOOD SERVICE INC","X","VF",NA,"15174WCP","SHTG PFPSTRY NTF BIB 50#","RGEORGE","S",2023-11-01,2023-11-02,"Next B/T order is coming on same date. Please move order out","0","REGULAR","181",180,NA,-167,-167,0,0,0,0,0,348,"75_15174WCP","75_15174WCP",13,180,"not_matching"
75,"49531",2023-10-18,NA,1899-12-31,"0","3324194U","00733-026","USF VENDOR RELATIONS","X","C","YES","20401USS","SPRD 60% WHP BTR CUP 600/5 GR","KPATIL","6",2023-11-01,2023-11-06,"Overselling - The next B/T order is coming on 11/3. Please move the order out","0","REGULAR","0",180,NA,-180,-180,0,0,0,0,0,180,"75_20401USS","75_20401USS",0,0,"matching"
75,"48807",2023-10-10,NA,1899-12-31,"0","880744","21578-026","SOUTHWEST TR TEMEC PANERA","X","C",NA,"21276PNA","DSG CHKN SLD PCH 12/17 OZ","KPATIL","6",2023-11-01,2023-11-02,"Overselling - The next B/T order is coming on the same date. Please move the order out","0","REGULAR","42",76,NA,-34,-34,0,0,0,0,0,76,"75_21276PNA","75_21276PNA",42,42,"matching"
75,"49437",2023-10-17,NA,1899-12-31,"0","3185008B","11399-188","USF-SSA BRINKER N. CALI","X","C","YES","22717BNK","MAYO PCH 8/0.5 GAL","JMARKSCH","S",2023-11-01,2023-11-06,"The next B/T order is coming on 11/3. Please move order out.","0","REGULAR","0",104,NA,-104,-312,0,0,0,0,0,312,"75_22717BNK","75_22717BNK",0,0,"matching"
75,"49435",2023-10-17,NA,1899-12-31,"0","3184988B","11399-193","USF-SSA POPEYES N.CALI","X","C",NA,"23903POP","SCE SWT HEAT CUP 200/1.25 OZ","JMARKSCH","S",2023-11-01,2023-11-03,"Next B/T order is coming on 11/2. Please move order out","0","REGULAR","7",72,NA,-65,-65,0,0,0,0,0,72,"75_23903POP","75_23903POP",7,7,"matching"
75,"49500",2023-10-18,NA,1899-12-31,"0","43171460","40227-048","SYSCO LOS ANGEL","B","C",NA,"72802SYS","BS BF FLVR NTF 25#","RGEORGE","6",2023-11-01,2023-11-02,"Next B/T order is coming on same date. Order needs to be adjusted.","0","REGULAR","0",12,NA,-12,-20,0,0,0,0,0,20,"75_72802SYS","75_72802SYS",0,12,"not_matching"
75,"49500",2023-10-18,NA,1899-12-31,"0","43171460","40227-048","SYSCO LOS ANGEL","M","C",NA,"75507SYS","DSG SESAME TSTD JUG 2/1 GAL","RGEORGE","R",2023-11-01,2023-11-07,"We are running on 11/6. Available inventory on 11/7.","0","REGULAR","0",63,NA,-63,-84,0,0,0,0,0,84,"75_75507SYS","75_75507SYS",0,0,"matching"
208,"21880",2023-10-18,NA,1899-12-31,"0","1892100","30547-022","JAKE'S INC-NEW WAREHOUSE","X","VF","YES","85625HVR","DSG RCH ORIG PCH SS 84/1.5 OZ","DCOVINGTON","m",2023-11-01,2023-11-03,NA,"0","REGULAR","0",13,NA,-13,-93,0,0,0,0,0,93,"208_85625HVR","208_85625HVR",0,0,"matching"
